名称,描述,时间,地点
华佗,东汉末年外科鼻祖，首创麻沸散用于外科手术,东汉末年,沛国谯县
孙思邈,唐代医药学家，《千金方》收录药方超万首,唐朝,陕西华原
张骞,西汉使臣，引进葡萄、苜蓿等药用植物改变中原药源,西汉,长安
葛洪,东晋道教理论家，《肘后备急方》首创急症处理原则,东晋,建康
宋慈,"南宋法医学家，提出""生前伤与死后伤""鉴别法",南宋,临安
钱乙,"北宋儿科专家，创""七味白术散""等儿科经典方剂",北宋,钱塘
许叔微,南宋医学家，收录民间秘方《普济本事方》180余首,南宋,扬州
李东垣,"明代医学家，创""升降浮沉""药物作用理论",明朝,浙江绍兴
朱丹溪,"元代医学家，发展""阴虚火旺""病机理论",元朝,浙江义乌
叶天士,"清代温病学家，确立""温邪上受""的病因学说",清朝,江苏吴县
王孟英,清代医学家，整理《温热经纬》融合各家温病理论,清朝,浙江海宁
张仲景,东汉医圣，《伤寒杂病论》确立六经辨证体系,东汉末年,南阳
扁鹊,"春秋战国时期名医，""望闻问切""诊断方法传播四方",春秋战国,齐国
华佗,东汉末年外科鼻祖，创编五禽戏强身健体,东汉末年,沛国谯县
李时珍,明代医药学家，实地考察纠正《本草》药物错误,明朝,湖北蕲春
张骞,西汉外交家，促进中西医药交流,西汉,长安
宋慈,南宋法医学家，建立验尸八项基本程序,南宋,临安
钱乙,"北宋儿科专家，提出""肝常有余，脾常不足""理论",北宋,钱塘
李东垣,"明代医学家，创""培土生金""治法理论",明朝,浙江绍兴
朱丹溪,"元代医学家，发展""相火论""解释阴虚发热",元朝,浙江义乌
叶天士,"清代温病学家，创""桑菊饮""""银翘散""等温病方剂",清朝,江苏吴县
王孟英,清代医学家，撰写《湿热病篇》完善湿热病治疗,清朝,浙江海宁
王清任,"清代解剖学家，绘制""腹脏图说""纠正古籍错误",清朝,直隶玉田
扁鹊,"春秋战国时期名医，""望闻问切""诊断法被后世尊为四诊之祖",春秋战国,齐国
华佗,东汉末年外科鼻祖，麻沸散使用记录见于《后汉书》,东汉末年,沛国谯县
李时珍,明代医药学家，《本草纲目》附图1109幅纠正药物形态,明朝,湖北蕲春
张骞,西汉使臣，引进龙眼、荔枝等南方药用植物,西汉,长安
宋慈,"南宋法医学家，首创""尸斑""""尸僵""鉴别死亡时间",南宋,临安
钱乙,"北宋儿科专家，创""异功散""调理小儿脾胃",北宋,钱塘
许叔微,南宋医学家，收录宋代民间验方《普济本事方》180首,南宋,扬州
李东垣,"明代医学家，提出""胃气为后天之本""理论",明朝,浙江绍兴
朱丹溪,"元代医学家，创""大补阴丸""治疗阴虚火旺",元朝,浙江义乌
叶天士,"清代温病学家，确立""卫气营血""辨证体系",清朝,江苏吴县
王孟英,清代医学家，整理《温热经纬》融合温病各家学说,清朝,浙江海宁
王清任,"清代解剖学家，批判""左肾为阳，右肾为阴""传统理论",清朝,直隶玉田
张仲景,"东汉医圣，《伤寒杂病论》被尊为""医宗金鉴""",东汉末年,南阳
扁鹊,"春秋战国时期名医，""望闻问切""四诊法沿用至今",春秋战国,齐国
华佗,东汉末年外科鼻祖，五禽戏现存最早文字记载于《三国志》,东汉末年,沛国谯县
孙思邈,"唐代药王，倡导""食疗""养生理念，《千金方》收录食疗方千余首",唐朝,陕西华原
张骞,西汉外交家，促进胡麻（芝麻）传入中原,西汉,长安
宋慈,"南宋法医学家，建立""验伤十三法""现场检验流程",南宋,临安
钱乙,"北宋儿科专家，创""泻白散""治疗小儿肺热",北宋,钱塘
许叔微,南宋医学家，收录妇科验方《普济本事方》60余首,南宋,扬州
李东垣,"明代医学家，创""升阳散火""治法治疗郁热",明朝,浙江绍兴
朱丹溪,"元代医学家，发展""肝火""理论解释目赤、惊狂",元朝,浙江义乌
叶天士,"清代温病学家，创""银翘散""治疗风热感冒",清朝,江苏吴县
王孟英,清代医学家，撰写《霍乱论》防治传染病,清朝,浙江海宁
王清任,"清代解剖学家，绘制""脑髓图""修正前人错误",清朝,直隶玉田
扁鹊,"春秋战国时期名医，""望闻问切""诊断法入选联合国教科文组织非物质文化遗产",春秋战国,齐国
华佗,东汉末年外科鼻祖，麻沸散配方见于《后汉书·华佗传》,东汉末年,沛国谯县
孙思邈,"唐代药王，被尊为""药中之圣""，《千金方》影响东亚医药",唐朝,陕西华原
李时珍,明代医药学家，《本草纲目》译成20余种文字传播世界,明朝,湖北蕲春
张骞,西汉使臣，引进汗血宝马等西域良驹,西汉,长安
宋慈,南宋法医学家，洗冤集录成为古代司法鉴定教科书,南宋,临安
钱乙,"北宋儿科专家，创""七味白术散""治疗疳积",北宋,钱塘
许叔微,南宋医学家，收录喉科验方《普济本事方》30余首,南宋,扬州
李东垣,"明代医学家，创""越鞠丸""调理脾胃气郁",明朝,浙江绍兴
朱丹溪,"元代医学家，发展""痰火""理论治疗癫狂",元朝,浙江义乌
叶天士,"清代温病学家，创""桑菊饮""治疗风温初起",清朝,江苏吴县
王孟英,清代医学家，整理《温热经纬》确立温病治疗大法,清朝,浙江海宁
