名称,描述,时间,地点
《浑天仪》,张衡发明的天文仪器，测定星宿位置和运动轨道,东汉时期,河南南阳
《气论》,王充提出的物质观，探讨天地之间的“气”运动,东汉时期,不详
《太虚》,张载提出的概念，探讨物质世界的本质,宋朝时期,不详
《梦溪笔谈》,沈括所著，记录声学、光学、磁学等方面的发现和知识,宋朝时期,不详
《营造法式》,李诫所著，指出梁截面广与厚的最优比例,宋朝时期,不详
《庄子》,记录同频率共振现象,战国时期,不详
《梦溪笔谈》,沈括记录频率为一比二的琴弦共振,宋朝时期,不详
《营造法式》,李诫指出梁截面广与厚的最优比例为3:2,宋朝时期,不详
《梦溪笔谈》,沈括记录针孔成像和凹凸镜的成像规律,宋朝时期,不详
《梦溪笔谈》,沈括记录透镜焦点、焦距的现象,宋朝时期,不详
《梦溪笔谈》,沈括记录磁针不全指北，发现磁偏角,宋朝时期,不详
《梦溪笔谈》,沈括研究磁化现象，为指南针制造提供经验,宋朝时期,不详
《考工记》,论述车轮制造中的力学原理,春秋战国时期,不详
《考工记》,论述浮力原理在制造轮子中的应用,春秋战国时期,不详
《考工记》,论述与弹道有关的技术,春秋战国时期,不详
《考工记》,最早论述物体惯性,春秋战国时期,不详
《考工记》,论述冶炼金属时的热学知识,春秋战国时期,不详
《论衡》,王充论述视角差对观察物体运动快慢的影响,东汉时期,不详
《论衡》,王充论述力和运动的关系,东汉时期,不详
《论衡》,王充论述声学现象,东汉时期,不详
《论衡》,王充论述热学现象,东汉时期,不详
《论衡》,王充论述电磁现象,东汉时期,不详
《墨经》,记录光学现象，如光的直线传播、平面镜成像等,战国时期,不详
《墨经》,记录声学现象，如声音的产生和传播,战国时期,不详
《墨经》,记录力学现象，如杠杆原理,战国时期,不详
《墨经》,记录热学现象，如热的传递,战国时期,不详
《墨经》,记录电磁现象，如摩擦起电,战国时期,不详
《周髀算经》,记录勾股定理,汉朝,不详
《周髀算经》,记录盖天说天文模型,汉朝,不详
《周髀算经》,记录分数运算,汉朝,不详
《四元玉鉴》,研究高次方程及多元方程组,元朝时期,不详
《甘石星经》,记录数百颗恒星位置,战国时期,不详
《水经注》,详细记载地理、历史、民俗,北魏时期,不详
《徐霞客游记》,实地考察喀斯特地貌、江河源流,明朝时期,不详
《营造法式》,详述木构建筑设计与施工,宋朝时期,不详
《武经总要》,记载火药配方、军事器械,宋朝时期,不详
《齐民要术》,总结黄河流域农业生产经验,北魏时期,不详
《农政全书》,集传统农学大成，引入西方科学思想,明朝时期,不详
《天工开物》,详细记录纺织、制盐、冶炼、陶瓷等18个行业的技术,明朝时期,不详
《黄帝内经》,中医理论奠基之作,战国至汉朝,不详
《伤寒杂病论》,创立“辨证论治”体系,东汉时期,不详
《本草纲目》,收录药物1892种，附药方万余条,明朝时期,不详
《千金方》,强调医德与养生，收录大量民间验方,唐朝时期,不详
《洗冤集录》,世界首部法医学专著,宋朝时期,不详
《九章算术》,中国古代数学体系形成标志,汉朝,不详
《浑仪议》,讨论浑天仪的设计和使用,不详,不详
《浮漏议》,讨论浮漏仪的设计和使用,不详,不详
《景表议》,讨论景表仪的设计和使用,不详,不详
《墨子》,包含杠杆原理等力学知识,战国时期,不详
《九章算术》,讨论平衡杆问题,汉朝,不详
《天平》,张衡发明的力学测量工具,东汉时期,河南南阳
《几何学》,解决光线的反射和折射问题,唐朝时期,不详
《曾侯乙编钟》,体现古代对音节音律的极高造诣,战国时期,不详
《回音壁》,巧妙应用声学原理,明朝时期,北京
《五行说》,探讨物质世界的本质,不详,不详
《元气说》,探讨物质世界的本质,不详,不详
《原子论》,探讨物质世界的本质,战国时期,不详
《浑天仪》,测定星宿位置和运动轨道,东汉时期,河南南阳
《气论》,探讨天地之间的“气”运动,东汉时期,不详
《太虚》,探讨物质世界的本质,宋朝时期,不详
《梦溪笔谈》,记录声学、光学、磁学等方面的发现和知识,宋朝时期,不详
《营造法式》,指出梁截面广与厚的最优比例,宋朝时期,不详
《庄子》,记录同频率共振现象,战国时期,不详
《梦溪笔谈》,记录频率为一比二的琴弦共振,宋朝时期,不详
《营造法式》,指出梁截面广与厚的最优比例为3:2,宋朝时期,不详
《梦溪笔谈》,记录针孔成像和凹凸镜的成像规律,宋朝时期,不详
《梦溪笔谈》,记录透镜焦点、焦距的现象,宋朝时期,不详
《梦溪笔谈》,记录磁针不全指北，发现磁偏角,宋朝时期,不详
《梦溪笔谈》,研究磁化现象，为指南针制造提供经验,宋朝时期,不详
《考工记》,论述车轮制造中的力学原理,春秋战国时期,不详
《考工记》,论述浮力原理在制造轮子中的应用,春秋战国时期,不详
《考工记》,论述与弹道有关的技术,春秋战国时期,不详
《考工记》,最早论述物体惯性,春秋战国时期,不详
《考工记》,论述冶炼金属时的热学知识,春秋战国时期,不详
《论衡》,王充论述视角差对观察物体运动快慢的影响,东汉时期,不详
《论衡》,王充论述力和运动的关系,东汉时期,不详
《论衡》,王充论述声学现象,东汉时期,不详
《论衡》,王充论述热学现象,东汉时期,不详
《论衡》,王充论述电磁现象,东汉时期,不详
《墨经》,记录光学现象，如光的直线传播、平面镜成像等,战国时期,不详
《墨经》,记录声学现象，如声音的产生和传播,战国时期,不详
《墨经》,记录力学现象，如杠杆原理,战国时期,不详
《墨经》,记录热学现象，如热的传递,战国时期,不详
《墨经》,记录电磁现象，如摩擦起电,战国时期,不详
《周髀算经》,记录勾股定理,汉朝,不详
《周髀算经》,记录盖天说天文模型,汉朝,不详
《周髀算经》,记录分数运算,汉朝,不详
《四元玉鉴》,研究高次方程及多元方程组,元朝时期,不详
《甘石星经》,记录数百颗恒星位置,战国时期,不详
《水经注》,详细记载地理、历史、民俗,北魏时期,不详
《徐霞客游记》,实地考察喀斯特地貌、江河源流,明朝时期,不详
《营造法式》,详述木构建筑设计与施工,宋朝时期,不详
《武经总要》,记载火药配方、军事器械,宋朝时期,不详
《齐民要术》,总结黄河流域农业生产经验,北魏时期,不详
《农政全书》,集传统农学大成，引入西方科学思想,明朝时期,不详
《天工开物》,详细记录纺织、制盐、冶炼、陶瓷等18个行业的技术,明朝时期,不详
《黄帝内经》,中医理论奠基之作,战国至汉朝,不详
《伤寒杂病论》,创立“辨证论治”体系,东汉时期,不详
《本草纲目》,收录药物1892种，附药方万余条,明朝时期,不详
《千金方》,强调医德与养生，收录大量民间验方,唐朝时期,不详
《洗冤集录》,世界首部法医学专著,宋朝时期,不详
《九章算术》,中国古代数学体系形成标志,汉朝,不详
《浑仪议》,讨论浑天仪的设计和使用,不详,不详
《浮漏议》,讨论浮漏仪的设计和使用,不详,不详
《景表议》,讨论景表仪的设计和使用,不详,不详
《墨子》,包含杠杆原理等力学知识,战国时期,不详
《九章算术》,讨论平衡杆问题,汉朝,不详
《天平》,张衡发明的力学测量工具,东汉时期,河南南阳
《几何学》,解决光线的反射和折射问题,唐朝时期,不详
《曾侯乙编钟》,体现古代对音节音律的极高造诣,战国时期,不详
《回音壁》,巧妙应用声学原理,明朝时期,北京
《五行说》,探讨物质世界的本质,不详,不详
《元气说》,探讨物质世界的本质,不详,不详
《原子论》,探讨物质世界的本质,战国时期,不详
《浑天仪》,测定星宿位置和运动轨道,东汉时期,河南南阳
《气论》,探讨天地之间的“气”运动,东汉时期,不详
《太虚》,探讨物质世界的本质,宋朝时期,不详
《梦溪笔谈》,记录声学、光学、磁学等方面的发现和知识,宋朝时期,不详
《营造法式》,指出梁截面广与厚的最优比例,宋朝时期,不详
《庄子》,记录同频率共振现象,战国时期,不详
《梦溪笔谈》,记录频率为一比二的琴弦共振,宋朝时期,不详
《营造法式》,指出梁截面广与厚的最优比例为3:2,宋朝时期,不详
《梦溪笔谈》,记录针孔成像和凹凸镜的成像规律,宋朝时期,不详
《梦溪笔谈》,记录透镜焦点、焦距的现象,宋朝时期,不详
《梦溪笔谈》,记录磁针不全指北，发现磁偏角,宋朝时期,不详
《梦溪笔谈》,研究磁化现象，为指南针制造提供经验,宋朝时期,不详
《考工记》,论述车轮制造中的力学原理,春秋战国时期,不详
《考工记》,论述浮力原理在制造轮子中的应用,春秋战国时期,不详
《考工记》,论述与弹道有关的技术,春秋战国时期,不详
《考工记》,最早论述物体惯性,春秋战国时期,不详
《考工记》,论述冶炼金属时的热学知识,春秋战国时期,不详
《论衡》,王充论述视角差对观察物体运动快慢的影响,东汉时期,不详
《论衡》,王充论述力和运动的关系,东汉时期,不详
《论衡》,王充论述声学现象,东汉时期,不详
《论衡》,王充论述热学现象,东汉时期,不详
《论衡》,王充论述电磁现象,东汉时期,不详
《墨经》,记录光学现象，如光的直线传播、平面镜成像等,战国时期,不详
《墨经》,记录声学现象，如声音的产生和传播,战国时期,不详
《墨经》,记录力学现象，如杠杆原理,战国时期,不详
《墨经》,记录热学现象，如热的传递,战国时期,不详
《墨经》,记录电磁现象，如摩擦起电,战国时期,不详
《周髀算经》,记录勾股定理,汉朝,不详
《周髀算经》,记录盖天说天文模型,汉朝,不详
《周髀算经》,记录分数运算,汉朝,不详
《四元玉鉴》,研究高次方程及多元方程组,元朝时期,不详
《甘石星经》,记录数百颗恒星位置,战国时期,不详
《水经注》,详细记载地理、历史、民俗,北魏时期,不详
《徐霞客游记》,实地考察喀斯特地貌、江河源流,明朝时期,不详
《营造法式》,详述木构建筑设计与施工,宋朝时期,不详
《武经总要》,记载火药配方、军事器械,宋朝时期,不详
《齐民要术》,总结黄河流域农业生产经验,北魏时期,不详
《农政全书》,集传统农学大成，引入西方科学思想,明朝时期,不详
《天工开物》,详细记录纺织、制盐、冶炼、陶瓷等18个行业的技术,明朝时期,不详
《黄帝内经》,中医理论奠基之作,战国至汉朝,不详
《伤寒杂病论》,创立“辨证论治”体系,东汉时期,不详
《本草纲目》,收录药物1892种，附药方万余条,明朝时期,不详
《千金方》,强调医德与养生，收录大量民间验方,唐朝时期,不详
《洗冤集录》,世界首部法医学专著,宋朝时期,不详
《九章算术》,中国古代数学体系形成标志,汉朝,不详
《浑仪议》,讨论浑天仪的设计和使用,不详,不详
《浮漏议》,讨论浮漏仪的设计和使用,不详,不详
《景表议》,讨论景表仪的设计和使用,不详,不详
《墨子》,包含杠杆原理等力学知识,战国时期,不详
《九章算术》,讨论平衡杆问题,汉朝,不详
《天平》,张衡发明的力学测量工具,东汉时期,河南南阳
《几何学》,解决光线的反射和折射问题
