名称,描述,时间,地点
《墨经》中的电学原理,记录了电学原理，如“电”、“雷”、“霆”等,战国时期,不详
《论衡》中的电学原理,阐述了电学原理，如“电”、“雷”、“霆”等,东汉时期,不详
《梦溪笔谈》中的电学实验,记录了电学实验，如“电”、“雷”、“霆”等,宋朝时期,不详
《天工开物》中的电学应用,记录了电学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的声学原理,记录了声学原理，如“声”、“音”、“响”等,战国时期,不详
《论衡》中的声学原理,阐述了声学原理，如“声”、“音”、“响”等,东汉时期,不详
《梦溪笔谈》中的声学实验,记录了声学实验，如“声”、“音”、“响”等,宋朝时期,不详
《天工开物》中的声学应用,记录了声学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的光学原理,记录了光学原理，如“光”、“影”、“像”等,战国时期,不详
《论衡》中的光学原理,阐述了光学原理，如“光”、“影”、“像”等,东汉时期,不详
《梦溪笔谈》中的光学实验,记录了光学实验，如“光”、“影”、“像”等,宋朝时期,不详
《天工开物》中的光学应用,记录了光学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的热学原理,记录了热学原理，如“热”、“火”、“气”等,战国时期,不详
《论衡》中的热学原理,阐述了热学原理，如“热”、“火”、“气”等,东汉时期,不详
《梦溪笔谈》中的热学实验,记录了热学实验，如“热”、“火”、“气”等,宋朝时期,不详
《天工开物》中的热学应用,记录了热学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的电学原理,记录了电学原理，如“电”、“雷”、“霆”等,战国时期,不详
《论衡》中的电学原理,阐述了电学原理，如“电”、“雷”、“霆”等,东汉时期,不详
《梦溪笔谈》中的电学实验,记录了电学实验，如“电”、“雷”、“霆”等,宋朝时期,不详
《天工开物》中的电学应用,记录了电学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的声学原理,记录了声学原理，如“声”、“音”、“响”等,战国时期,不详
《论衡》中的声学原理,阐述了声学原理，如“声”、“音”、“响”等,东汉时期,不详
《梦溪笔谈》中的声学实验,记录了声学实验，如“声”、“音”、“响”等,宋朝时期,不详
《天工开物》中的声学应用,记录了声学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的光学原理,记录了光学原理，如“光”、“影”、“像”等,战国时期,不详
《论衡》中的光学原理,阐述了光学原理，如“光”、“影”、“像”等,东汉时期,不详
《梦溪笔谈》中的光学实验,记录了光学实验，如“光”、“影”、“像”等,宋朝时期,不详
《天工开物》中的光学应用,记录了光学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的热学原理,记录了热学原理，如“热”、“火”、“气”等,战国时期,不详
《论衡》中的热学原理,阐述了热学原理，如“热”、“火”、“气”等,东汉时期,不详
《梦溪笔谈》中的热学实验,记录了热学实验，如“热”、“火”、“气”等,宋朝时期,不详
《天工开物》中的热学应用,记录了热学在农业和手工业生产中的应用,明朝时期,不详
《墨经》中的电学原理,记录了电学原理，如“电”、“雷”、“霆”等,战国时期,不详
《论衡》中的电学原理,阐述了电学原理，如“电”、“雷”、“霆”等,东汉时期,不详
《梦溪笔谈》中的电学实验,记录了电学实验，如“电”、“雷”、“霆”等,宋朝时期,不详
《天工开物》中的电学应用,记录了电学在农业和手工业生产中的应用,明朝时期,不详
