名称,描述,时间,地点
敦煌藏经洞,佛教典籍与艺术品的宝库，藏有5万余件文物,唐朝至元朝,甘肃敦煌
泉州湾宋代沉船,出土大量香料、瓷器等海外贸易商品，反映宋元时期航海技术,宋朝,福建泉州
永乐宫壁画,元代道教壁画巅峰之作，现存960平方米彩色壁画,元朝,山西永乐宫
故宫交泰殿,皇后居所，内部陈设象征皇权与吉祥,明朝,北京
都江堰宝瓶口,控制进水量的关键装置，设计精巧可调节水量大小,战国时期,四川成都
苏州狮子林,元代禅意园林，太湖石堆砌的"假山王国",元朝,江苏苏州
南京明城墙,现存最完整的古代城垣，周长35公里，包砖结构坚固耐用,明朝,江苏南京
布达拉宫红宫,存放历代达赖喇嘛灵塔与佛像的宗教建筑,清朝,西藏拉萨
故宫保和殿,皇帝宴请群臣的场所，殿内悬挂"建极绥猷"匾额,明朝,北京
都江堰二王庙,纪念李冰父子的祠堂，保存古代水利工程技术文献,战国时期,四川成都
赵州桥桥墩设计,采用"券洞"结构分散水流冲击力，历经14次洪水仍完好无损,隋朝,河北赵县
应县木塔抗震原理,通过斗拱层逐级传递地震力，实现"柔性消能",辽代,山西应县
苏州留园,清代园林代表作，以"园中园"布局和精巧假山著称,清朝,江苏苏州
北京天坛,明清两代祭天场所，建筑布局体现"天圆地方"哲学思想,明朝至清朝,北京
秦始皇陵兵马俑,陶俑阵列模拟真实军队，展现秦代军事编制与制陶工艺,秦朝,陕西西安
布达拉宫金顶,覆盖鎏金铜瓦的屋顶，阳光下闪耀夺目，象征神圣地位,清朝,西藏拉萨
故宫太和殿藻井,木雕龙凤图案环绕中央轩辕镜，象征皇权天授,明朝,北京
都江堰外江闸,清代改建的节制闸，配备杠杆式启闭机，提高灌溉效率,清朝,四川成都
赵州桥石料选择,采用当地花岗岩，质地坚硬耐风化，确保桥梁千年不垮,隋朝,河北赵县
应县木塔防腐处理,木材经过桐油浸泡处理，结合通风设计延长使用寿命,辽代,山西应县
苏州网师园,小巧精致的园林，运用借景手法与曲径通幽营造空间层次,清朝,江苏苏州
南京中山陵,近代建筑代表作，融合中西建筑元素，392级台阶象征三民主义,民国时期,江苏南京
北京雍和宫,藏传佛教寺院，建筑风格融合汉藏艺术，保存大量文物与唐卡,清朝,北京
敦煌月牙泉,沙漠中的天然泉水，周边绿洲生态系统保存完好,汉朝至现代,甘肃敦煌
泉州港出土香料船,宋元时期远洋贸易船只，载有丁香、豆蔻等珍贵香料,宋朝,福建泉州
永乐宫三清殿,元代道教最高神殿，壁画描绘宇宙生成与道教教义,元朝,山西永乐宫
故宫文渊阁,清代皇家藏书楼，仿宁波天一阁设计，防火防潮性能卓越,清朝,北京
都江堰内江闸,控制内江进水量的核心设施，采用叠梁闸门技术,战国时期,四川成都
赵州桥路面处理,铺设鹅卵石与铁锭加固，增强桥面抗压与防滑性能,隋朝,河北赵县
应县木塔防震设计,底层柱子直径最大，向上逐层递减，形成"减震弹簧"效应,辽代,山西应县
苏州拙政园远香堂,四面环水的建筑，夏日荷香四溢，取"香远益清"之意,明朝,江苏苏州
北京正阳门,明清北京城南门，箭楼与瓮城防御体系完善,明朝至清朝,北京
秦始皇陵地宫,未被盗掘的地下宫殿，据记载含"黄肠题凑"墓室结构,秦朝,陕西西安
布达拉宫白宫,达赖喇嘛的冬宫，墙面镶嵌松石绿釉砖，装饰华丽,清朝,西藏拉萨
故宫中和殿宝座,镶嵌珍珠与玉器的金丝楠木座椅，象征皇帝权威,明朝,北京
都江堰鱼嘴分水处,战国时期水利工程，至今仍精准控制着岷江六成水量,战国时期,四川成都
赵州桥基础深度,桥墩下挖至河床以下的深度达4-6米，确保稳定性,隋朝,河北赵县
应县木塔斗拱数量,全塔共用斗拱252组，种类繁多，堪称"斗拱博物馆",辽代,山西应县
苏州狮子林假山,元代僧人惟则大师堆砌的"禅意"假山，洞壑曲折宛如迷宫,元朝,江苏苏州
南京明孝陵神道,石像生列队绵延1.5公里，彰显皇家威严,明朝,江苏南京
布达拉宫金顶建筑,采用鎏金铜瓦与孔雀石屋面，阳光照射下色彩绚丽,清朝,西藏拉萨
故宫太和殿龙椅,金丝楠木雕龙椅，扶手处镶嵌玉雕，象征"真龙天子",明朝,北京
都江堰宝瓶口水电站,古代"无坝引水"典范，通过鱼嘴、飞沙堰、宝瓶口三级调控水流,战国时期,四川成都
赵州桥石料加工,采用"錾凿"工艺雕刻石块，边缘光滑误差不超过0.5厘米,隋朝,河北赵县
应县木塔通风设计,楼板留有通风口，形成空气对流层，防止木材腐朽,辽代,山西应县
苏州留园冠云峰,高6.5米的太湖石，经数百年雨水冲刷形成独特孔洞形态,清朝,江苏苏州
北京天坛祈年殿,三层汉白玉圆台，象征"天圆地方"，鎏金宝顶在阳光下闪耀,明朝至清朝,北京
秦始皇陵兵马俑阵列,按军阵排列的陶俑群，包含将军俑、车马俑等不同兵种,秦朝,陕西西安
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，灵塔采用金皮包裹、珠宝镶嵌工艺,清朝,西藏拉萨
故宫文华殿,皇帝举行经筵的地方，内部装饰以山水画与古籍典籍为主,明朝,北京
都江堰外江闸,清代改建的石砌闸门，配备铁链控制水位，提高灌溉效率,清朝,四川成都
赵州桥桥面铺装,采用青石板与铁锭镶嵌，既防滑又增加桥面强度,隋朝,河北赵县
应县木塔防腐技术,木材经过桐油、蜂蜡等多道工序处理，延缓腐朽速度,辽代,山西应县
苏州网师园殿春簠,春季赏花的主题庭院，种植芍药、牡丹等花卉,清朝,江苏苏州
南京中山陵祭堂,圆形建筑象征天圆，孙中山铜像居中，气氛庄严肃穆,民国时期,江苏南京
北京雍和宫法物流通处,藏传佛教重要寺院，每年举办雪顿节等宗教活动,清朝,北京
敦煌鸣沙山月牙泉,沙漠中的天然奇观，月牙泉水清澈甘甜，周边植被独特,汉朝至现代,甘肃敦煌
泉州港出土宋元商船,残存船体结构显示宋代造船技术，使用水密隔舱防沉技术,宋朝,福建泉州
永乐宫壁画修复,20世纪90年代修复的元代壁画，采用传统矿物颜料与古法工艺,现代,山西永乐宫
故宫太和殿藻井金龙,木雕龙纹环绕中央铜镜，象征皇帝为"真龙天子",明朝,北京
都江堰内江闸,战国时期建造的节制闸，通过杠杆原理控制水量分配,战国时期,四川成都
赵州桥石料来源,采自当地汶川县红花岗岩，质地坚硬耐风化，运输距离约50公里,隋朝,河北赵县
应县木塔抗震测试,现代仪器检测显示，可抵御7级地震而不倒塌,辽代,山西应县
苏州拙政园香洲,仿船形建筑，位于水池中央，夏日荷花盛开时宛如画舫,明朝,江苏苏州
北京正阳门箭楼,清代重建的城楼，设有瞭望孔与射箭窗，防御功能完善,清朝,北京
秦始皇陵地宫结构,据《史记》记载采用"黄肠题凑"椁室，木头皆向中心排列,秦朝,陕西西安
布达拉宫白宫宴会厅,长56米，高12米的宴会厅，可容纳千人同时用餐,清朝,西藏拉萨
故宫中和殿宝座后方屏风,刺绣精美，描绘江山社稷图案，象征皇帝统治天下,明朝,北京
都江堰鱼嘴分水比例,设计科学合理，汛期自动分流60%水量入外江防洪,战国时期,四川成都
赵州桥基础加固,历代多次维修，采用糯米灰浆灌注缝隙，增强整体性,隋朝至现代,河北赵县
应县木塔斗拱承重,每层斗拱可承受2000公斤重量，整体结构稳定可靠,辽代,山西应县
苏州狮子林假山群,运用"瘦、皱、漏、透"四法堆砌，形成独特地貌景观,元朝,江苏苏州
南京明孝陵神道石像生,包括麒麟、獬豸、骆驼等动物石像，间距相等，象征皇权威严,明朝,江苏南京
布达拉宫金顶建筑工艺,鎏金工艺采用汞齐法，将金箔加热附着于铜瓦表面,清朝,西藏拉萨
故宫太和殿前广场,面积达3万平方米，地面铺装金砖，举行重大典礼时使用,明朝,北京
都江堰宝瓶口引水渠,长1.2公里，宽50米，通过水闸调节水量供给成都平原,战国时期,四川成都
赵州桥石料加工技术,工匠使用圆凿、扁凿等工具，石材表面打磨光滑如镜面,隋朝,河北赵县
应县木塔通风系统,楼板开设圆形通风口，形成空气对流，保持室内干燥,辽代,山西应县
苏州网师园夜景,月光下的园林景色别具韵味，被誉为"园林甲天下"之一,清朝,江苏苏州
北京天坛回音壁,利用声学原理设计，游客拍手可听到清晰回声,明朝至清朝,北京
秦始皇陵兵马俑制作,采用模块化生产，陶俑头部单独模制后雕刻五官,秦朝,陕西西安
布达拉宫壁画保护,采用纳米材料加固壁画，控制温湿度防止褪色,现代,西藏拉萨
故宫文渊阁书架,楠木制成，设计巧妙，可存放数万卷古籍,清朝,北京
都江堰外江闸,清代增设的石砌闸门，配备铁链控制，提高防洪能力,清朝,四川成都
赵州桥路面维护,历代工匠使用桐油、石灰混合材料修补路面，延长使用寿命,隋朝至现代,河北赵县
应县木塔防腐处理,定期涂抹蜂蜡与桐油，保持木材湿润防干燥开裂,辽代至现代,山西应县
苏州拙政园水景,运用"借景"手法引入园外湖水，形成流动的山水画卷,明朝,江苏苏州
南京中山陵音乐台,直径150米的圆形广场，可容纳3万人集会,民国时期,江苏南京
北京雍和宫佛像馆,收藏明清时期鎏金佛像、铜像等珍贵文物,清朝,北京
敦煌月牙泉生态,泉水补给来自地下暗河，周边植被形成微型生态系统,汉朝至现代,甘肃敦煌
泉州港宋代沉船,船体残骸显示宋代远洋贸易的繁荣，货物种类丰富,宋朝,福建泉州
永乐宫三清殿壁画,元代道教壁画巅峰之作，描绘了元始天尊、太上老君等神像,元朝,山西永乐宫
故宫太和殿龙椅,扶手处镶嵌白玉龙头，象征"龙御四海",明朝,北京
都江堰内江闸,战国时期水利工程，通过叠梁闸门调节水量，确保成都平原灌溉,战国时期,四川成都
赵州桥基础深度,桥墩下挖至河床稳定层，深度达4-6米，防止冲刷,隋朝,河北赵县
应县木塔斗拱体系,由10734个斗拱构件组成，形成独特的力学结构,辽代,山西应县
苏州狮子林假山,元代僧人惟则大师设计，运用"禅意"理念创造人工奇观,元朝,江苏苏州
南京明孝陵神道,石像生排列有序，彰显皇家威严，全长1.5公里,明朝,江苏南京
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，塔身镶嵌各种宝石，工艺精湛,清朝,西藏拉萨
故宫中和殿宝座,金丝楠木雕刻，表面贴金箔，象征皇帝至高无上权力,明朝,北京
都江堰鱼嘴分水处,战国时期创建的水利枢纽，至今仍精准调控岷江水流,战国时期,四川成都
赵州桥石料加工,工匠使用铁楔子敲打石材，表面打磨光滑如镜，接缝严密,隋朝,河北赵县
应县木塔抗震设计,底层柱子最粗，向上逐层收缩，形成"减震弹簧"效应,辽代,山西应县
苏州拙政园远香堂,夏日荷花盛开，香气四溢，取"香远益清"之意命名,明朝,江苏苏州
北京天坛祈年殿,三层汉白玉圆台，象征"天圆地方"，鎏金宝顶在阳光下闪耀,明朝至清朝,北京
秦始皇陵地宫,据记载采用"黄肠题凑"椁室，木头向中心排列，结构独特,秦朝,陕西西安
布达拉宫白宫,五世达赖喇嘛修建的行政中心，墙面装饰华丽，保存大量文物,清朝,西藏拉萨
故宫文渊阁,清代皇家藏书楼，仿宁波天一阁设计，防火防潮措施完善,清朝,北京
都江堰外江闸,清代改建的石砌闸门，配备铁链控制水位，提高灌溉效率,清朝,四川成都
赵州桥桥面铺装,青石板与铁锭镶嵌，既防滑又增加桥面强度,隋朝,河北赵县
应县木塔防腐处理,木材经过桐油、蜂蜡等多道工序处理，延缓腐朽速度,辽代,山西应县
苏州网师园殿春簠,春季赏花的主题庭院，种植芍药、牡丹等花卉,清朝,江苏苏州
南京中山陵祭堂,圆形建筑象征天圆，孙中山铜像居中，气氛庄严肃穆,民国时期,江苏南京
北京正阳门箭楼,清代重建的城楼，设有瞭望孔与射箭窗，防御功能完善,清朝,北京
秦始皇陵兵马俑阵列,按军阵排列的陶俑群，包含将军俑、车马俑等不同兵种,秦朝,陕西西安
布达拉宫金顶建筑,采用鎏金铜瓦与孔雀石屋面，阳光照射下色彩绚丽,清朝,西藏拉萨
故宫太和殿藻井金龙,木雕龙纹环绕中央铜镜，象征皇帝为"真龙天子",明朝,北京
都江堰内江闸,战国时期建造的节制闸，通过杠杆原理控制水量分配,战国时期,四川成都
赵州桥石料来源,采自当地汶川县红花岗岩，质地坚硬耐风化，运输距离约50公里,隋朝,河北赵县
应县木塔斗拱承重,每层斗拱可承受2000公斤重量，整体结构稳定可靠,辽代,山西应县
苏州狮子林假山群,运用"瘦、皱、漏、透"四法堆砌，形成独特地貌景观,元朝,江苏苏州
南京明孝陵神道石像生,包括麒麟、獬豸、骆驼等动物石像，间距相等，象征皇权威严,明朝,江苏南京
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，塔身镶嵌各种宝石，工艺精湛,清朝,西藏拉萨
故宫中和殿宝座后方屏风,刺绣精美，描绘江山社稷图案，象征皇帝统治天下,明朝,北京
都江堰鱼嘴分水比例,设计科学合理，汛期自动分流60%水量入外江防洪,战国时期,四川成都
赵州桥基础加固,历代多次维修，采用糯米灰浆灌注缝隙，增强整体性,隋朝至现代,河北赵县
应县木塔通风系统,楼板开设圆形通风口，形成空气对流，保持室内干燥,辽代,山西应县
苏州网师园夜景,月光下的园林景色别具韵味，被誉为"园林甲天下"之一,清朝,江苏苏州
北京天坛回音壁,利用声学原理设计，游客拍手可听到清晰回声,明朝至清朝,北京
秦始皇陵兵马俑制作,采用模块化生产，陶俑头部单独模制后雕刻五官,秦朝,陕西西安
布达拉宫壁画保护,采用纳米材料加固壁画，控制温湿度防止褪色,现代,西藏拉萨
故宫文渊阁书架,楠木制成，设计巧妙，可存放数万卷古籍,清朝,北京
都江堰外江闸,清代增设的石砌闸门，配备铁链控制，提高防洪能力,清朝,四川成都
赵州桥路面维护,历代工匠使用桐油、石灰混合材料修补路面，延长使用寿命,隋朝至现代,河北赵县
应县木塔防腐处理,定期涂抹蜂蜡与桐油，保持木材湿润防干燥开裂,辽代至现代,山西应县
苏州拙政园水景,运用"借景"手法引入园外湖水，形成流动的山水画卷,明朝,江苏苏州
南京中山陵音乐台,直径150米的圆形广场，可容纳3万人集会,民国时期,江苏南京
北京雍和宫佛像馆,收藏明清时期鎏金佛像、铜像等珍贵文物,清朝,北京
敦煌月牙泉生态,泉水补给来自地下暗河，周边植被形成微型生态系统,汉朝至现代,甘肃敦煌
泉州港宋代沉船,船体残骸显示宋代远洋贸易的繁荣，货物种类丰富,宋朝,福建泉州
永乐宫三清殿壁画,元代道教壁画巅峰之作，描绘了元始天尊、太上老君等神像,元朝,山西永乐宫
故宫太和殿龙椅,扶手处镶嵌白玉龙头，象征"龙御四海",明朝,北京
都江堰内江闸,战国时期水利工程，通过叠梁闸门调节水量，确保成都平原灌溉,战国时期,四川成都
赵州桥石料加工,工匠使用铁楔子敲打石材，表面打磨光滑如镜，接缝严密,隋朝,河北赵县
应县木塔斗拱体系,由10734个斗拱构件组成，形成独特的力学结构,辽代,山西应县
苏州狮子林假山,元代僧人惟则大师设计，运用"禅意"理念创造人工奇观,元朝,江苏苏州
南京明孝陵神道石像生,包括麒麟、獬豸、骆驼等动物石像，间距相等，象征皇权威严,明朝,江苏南京
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，塔身镶嵌各种宝石，工艺精湛,清朝,西藏拉萨
故宫中和殿宝座,金丝楠木雕刻，表面贴金箔，象征皇帝至高无上权力,明朝,北京
都江堰鱼嘴分水处,战国时期创建的水利枢纽，至今仍精准调控岷江水流,战国时期,四川成都
赵州桥基础深度,桥墩下挖至河床稳定层，深度达4-6米，防止冲刷,隋朝,河北赵县
应县木塔抗震设计,底层柱子最粗，向上逐层收缩，形成"减震弹簧"效应,辽代,山西应县
苏州拙政园远香堂,夏日荷花盛开，香气四溢，取"香远益清"之意命名,明朝,江苏苏州
北京天坛祈年殿,三层汉白玉圆台，象征"天圆地方"，鎏金宝顶在阳光下闪耀,明朝至清朝,北京
秦始皇陵地宫,据记载采用"黄肠题凑"椁室，木头向中心排列，结构独特,秦朝,陕西西安
布达拉宫白宫,五世达赖喇嘛修建的行政中心，墙面装饰华丽，保存大量文物,清朝,西藏拉萨
故宫文渊阁,清代皇家藏书楼，仿宁波天一阁设计，防火防潮措施完善,清朝,北京
都江堰外江闸,清代改建的石砌闸门，配备铁链控制水位，提高灌溉效率,清朝,四川成都
赵州桥桥面铺装,青石板与铁锭镶嵌，既防滑又增加桥面强度,隋朝,河北赵县
应县木塔防腐处理,木材经过桐油、蜂蜡等多道工序处理，延缓腐朽速度,辽代,山西应县
苏州网师园殿春簠,春季赏花的主题庭院，种植芍药、牡丹等花卉,清朝,江苏苏州
南京中山陵祭堂,圆形建筑象征天圆，孙中山铜像居中，气氛庄肃穆,民国时期,江苏南京
北京正阳门箭楼,清代重建的城楼，设有瞭望孔与射箭窗，防御功能完善,清朝,北京
秦始皇陵兵马俑阵列,按军阵排列的陶俑群，包含将军俑、车马俑等不同兵种,秦朝,陕西西安
布达拉宫金顶建筑,采用鎏金铜瓦与孔雀石屋面，阳光照射下色彩绚丽,清朝,西藏拉萨
故宫太和殿藻井金龙,木雕龙纹环绕中央铜镜，象征皇帝为"真龙天子",明朝,北京
都江堰内江闸,战国时期建造的节制闸，通过杠杆原理控制水量分配,战国时期,四川成都
赵州桥石料来源,采自当地汶川县红花岗岩，质地坚硬耐风化，运输距离约50公里,隋朝,河北赵县
应县木塔斗拱承重,每层斗拱可承受2000公斤重量，整体结构稳定可靠,辽代,山西应县
苏州狮子林假山群,运用"瘦、皱、漏、透"四法堆砌，形成独特地貌景观,元朝,江苏苏州
南京明孝陵神道石像生,包括麒麟、獬豸、骆驼等动物石像，间距相等，象征皇权威严,明朝,江苏南京
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，塔身镶嵌各种宝石，工艺精湛,清朝,西藏拉萨
故宫中和殿宝座后方屏风,刺绣精美，描绘江山社稷图案，象征皇帝统治天下,明朝,北京
都江堰鱼嘴分水比例,设计科学合理，汛期自动分流60%水量入外江防洪,战国时期,四川成都
赵州桥基础加固,历代多次维修，采用糯米灰浆灌注缝隙，增强整体性,隋朝至现代,河北赵县
应县木塔通风系统,楼板开设圆形通风口，形成空气对流，保持室内干燥,辽代,山西应县
苏州网师园夜景,月光下的园林景色别具韵味，被誉为"园林甲天下"之一,清朝,江苏苏州
北京天坛回音壁,利用声学原理设计，游客拍手可听到清晰回声,明朝至清朝,北京
秦始皇陵兵马俑制作,采用模块化生产，陶俑头部单独模制后雕刻五官,秦朝,陕西西安
布达拉宫壁画保护,采用纳米材料加固壁画，控制温湿度防止褪色,现代,西藏拉萨
故宫文渊阁书架,楠木制成，设计巧妙，可存放数万卷古籍,清朝,北京
都江堰外江闸,清代增设的石砌闸门，配备铁链控制，提高防洪能力,清朝,四川成都
赵州桥路面维护,历代工匠使用桐油、石灰混合材料修补路面，延长使用寿命,隋朝至现代,河北赵县
应县木塔防腐处理,定期涂抹蜂蜡与桐油，保持木材湿润防干燥开裂,辽代至现代,山西应县
苏州拙政园水景,运用"借景"手法引入园外湖水，形成流动的山水画卷,明朝,江苏苏州
南京中山陵音乐台,直径150米的圆形广场，可容纳3万人集会,民国时期,江苏南京
北京雍和宫佛像馆,收藏明清时期鎏金佛像、铜像等珍贵文物,清朝,北京
敦煌月牙泉生态,泉水补给来自地下暗河，周边植被形成微型生态系统,汉朝至现代,甘肃敦煌
泉州港宋代沉船,船体残骸显示宋代远洋贸易的繁荣，货物种类丰富,宋朝,福建泉州
永乐宫三清殿壁画,元代道教壁画巅峰之作，描绘了元始天尊、太上老君等神像,元朝,山西永乐宫
故宫太和殿龙椅,扶手处镶嵌白玉龙头，象征"龙御四海",明朝,北京
都江堰内江闸,战国时期水利工程，通过叠梁闸门调节水量，确保成都平原灌溉,战国时期,四川成都
赵州桥石料加工,工匠使用铁楔子敲打石材，表面打磨光滑如镜，接缝严密,隋朝,河北赵县
应县木塔斗拱体系,由10734个斗拱构件组成，形成独特的力学结构,辽代,山西应县
苏州狮子林假山群,运用"瘦、皱、漏、透"四法堆砌，形成独特地貌景观,元朝,江苏苏州
南京明孝陵神道石像生,包括麒麟、獬豸、骆驼等动物石像，间距相等，象征皇权威严,明朝,江苏南京
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，塔身镶嵌各种宝石，工艺精湛,清朝,西藏拉萨
故宫中和殿宝座,金丝楠木雕刻，表面贴金箔，象征皇帝至高无上权力,明朝,北京
都江堰鱼嘴分水处,战国时期创建的水利枢纽，至今仍精准调控岷江水流,战国时期,四川成都
赵州桥基础深度,桥墩下挖至河床稳定层，深度达4-6米，防止冲刷,隋朝,河北赵县
应县木塔抗震设计,底层柱子最粗，向上逐层收缩，形成"减震弹簧"效应,辽代,山西应县
苏州拙政园远香堂,夏日荷花盛开，香气四溢，取"香远益清"之意命名,明朝,江苏苏州
北京天坛祈年殿,三层汉白玉圆台，象征"天圆地方"，鎏金宝顶在阳光下闪耀,明朝至清朝,北京
秦始皇陵地宫,据记载采用"黄肠题凑"椁室，木头向中心排列，结构独特,秦朝,陕西西安
布达拉宫白宫,五世达赖喇嘛修建的行政中心，墙面装饰华丽，保存大量文物,清朝,西藏拉萨
故宫文渊阁,清代皇家藏书楼，仿宁波天一阁设计，防火防潮措施完善,清朝,北京
都江堰外江闸,清代改建的石砌闸门，配备铁链控制水位，提高灌溉效率,清朝,四川成都
赵州桥路面铺装,青石板与铁锭镶嵌，既防滑又增加桥面强度,隋朝,河北赵县
应县木塔防腐处理,木材经过桐油、蜂蜡等多道工序处理，延缓腐朽速度,辽代,山西应县
苏州网师园殿春簠,春季赏花的主题庭院，种植芍药、牡丹等花卉,清朝,江苏苏州
南京中山陵祭堂,圆形建筑象征天圆，孙中山铜像居中，气氛庄肃穆,民国时期,江苏南京
北京正阳门箭楼,清代重建的城楼，设有瞭望孔与射箭窗，防御功能完善,清朝,北京
秦始皇陵兵马俑阵列,按军阵排列的陶俑群，包含将军俑、车马俑等不同兵种,秦朝,陕西西安
布达拉宫金顶建筑,采用鎏金铜瓦与孔雀石屋面，阳光照射下色彩绚丽,清朝,西藏拉萨
故宫太和殿藻井金龙,木雕龙纹环绕中央铜镜，象征皇帝为"真龙天子",明朝,北京
都江堰内江闸,战国时期建造的节制闸，通过杠杆原理控制水量分配,战国时期,四川成都
赵州桥石料来源,采自当地汶川县红花岗岩，质地坚硬耐风化，运输距离约50公里,隋朝,河北赵县
应县木塔斗拱承重,每层斗拱可承受2000公斤重量，整体结构稳定可靠,辽代,山西应县
苏州狮子林假山群,运用"瘦、皱、漏、透"四法堆砌，形成独特地貌景观,元朝,江苏苏州
南京明孝陵神道石像生,包括麒麟、獬豸、骆驼等动物石像，间距相等，象征皇权威严,明朝,江苏南京
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，塔身镶嵌各种宝石，工艺精湛,清朝,西藏拉萨
故宫中和殿宝座后方屏风,刺绣精美，描绘江山社稷图案，象征皇帝统治天下,明朝,北京
都江堰鱼嘴分水比例,设计科学合理，汛期自动分流60%水量入外江防洪,战国时期,四川成都
赵州桥基础加固,历代多次维修，采用糯米灰浆灌注缝隙，增强整体性,隋朝至现代,河北赵县
应县木塔通风系统,楼板开设圆形通风口，形成空气对流，保持室内干燥,辽代,山西应县
苏州网师园夜景,月光下的园林景色别具韵味，被誉为"园林甲天下"之一,清朝,江苏苏州
北京天坛回音壁,利用声学原理设计，游客拍手可听到清晰回声,明朝至清朝,北京
秦始皇陵兵马俑制作,采用模块化生产，陶俑头部单独模制后雕刻五官,秦朝,陕西西安
布达拉宫壁画保护,采用纳米材料加固壁画，控制温湿度防止褪色,现代,西藏拉萨
故宫文渊阁书架,楠木制成，设计巧妙，可存放数万卷古籍,清朝,北京
都江堰外江闸,清代增设的石砌闸门，配备铁链控制水位，提高灌溉效率,清朝,四川成都
赵州桥路面维护,历代工匠使用桐油、石灰混合材料修补路面，延长使用寿命,隋朝至现代,河北赵县
应县木塔防腐处理,定期涂抹蜂蜡与桐油，保持木材湿润防干燥开裂,辽代至现代,山西应县
苏州拙政园水景,运用"借景"手法引入园外湖水，形成流动的山水画卷,明朝,江苏苏州
南京中山陵音乐台,直径150米的圆形广场，可容纳3万人集会,民国时期,江苏南京
北京雍和宫佛像馆,收藏明清时期鎏金佛像、铜像等珍贵文物,清朝,北京
敦煌月牙泉生态,泉水补给来自地下暗河，周边植被形成微型生态系统,汉朝至现代,甘肃敦煌
泉州港宋代沉船,船体残骸显示宋代远洋贸易的繁荣，货物种类丰富,宋朝,福建泉州
永乐宫三清殿壁画,元代道教壁画巅峰之作，描绘了元始天尊、太上老君等神像,元朝,山西永乐宫
