名称,描述,时间,地点
《勾股举隅》,清代黄百家所著，主要研究勾股定理及其应用，通过大量的例题和证明，深入探讨了勾股定理的性质和应用方法,清代,不详
《开方说》,清代李锐所著，是一部关于开方运算的数学著作，详细阐述了开方的方法和原理，以及开方在实际问题中的应用,清代,不详
《方程新术草》,清代李锐所著，对传统的方程解法进行了改进和创新，提出了一些新的算法和思路，在高次方程的解法上有重要贡献,清代,不详
《几何原本》（徐光启译本）,明代徐光启与西方传教士利玛窦合作翻译的欧几里得《几何原本》前六卷，将西方的几何知识引入中国，对中国古代数学的发展产生了一定影响,明朝,上海
《测量法义》,明代徐光启所著，介绍了西方测量学的基本方法和原理，结合中国的实际情况进行了阐述和应用,明朝,上海
《同文算指》,明代李之藻与西方传教士利玛窦合作编译的一部数学著作，介绍了西方的算术知识和算法，对中西方数学的交流和融合起到了重要作用,明朝,不详
《西镜录》,明代邓玉函所著，是一部介绍西方天文历法和数学知识的著作，其中包含了西方的一些数学方法和理论,明朝,不详
《天步真原》,清代薛凤祚所著，是一部融合中西天文历法和数学知识的著作，在历法计算和数学应用方面有一定的创新和发展,清代,不详
《历学会通》,清代薛凤祚所著，是一部综合性的科学著作，其中包括了天文、历法、数学等方面的内容，对中西方科学的交流和融合做出了贡献,清代,不详
《算学新说》,清代焦循所著，对传统的数学理论和方法进行了反思和创新，提出了一些新的观点和见解，在数学研究方面有一定的突破,清代,不详
《加减乘除释》,清代焦循所著，是一部关于四则运算的数学著作，详细阐述了四则运算的原理和方法，以及在实际问题中的应用,清代,不详
《天元一释》,清代焦循所著，对天元术进行了深入的研究和阐释，通过具体的例题和证明，揭示了天元术的本质和应用方法,清代,不详
《乘方释例》,清代焦循所著，主要研究乘方运算的理论和应用，通过大量的例题和证明，深入探讨了乘方运算的性质和应用方法,清代,不详
《开方释例》,清代焦循所著，对开方运算进行了系统的研究和阐述，详细介绍了开方的方法和原理，以及开方在实际问题中的应用,清代,不详
《方程论》,清代梅文鼎所著，是一部关于方程理论的数学著作，对传统的方程解法进行了深入的研究和分析，提出了一些新的观点和方法,清代,安徽宣城
《勾股论》,清代梅文鼎所著，主要研究勾股定理及其应用，通过大量的例题和证明，深入探讨了勾股定理的性质和应用方法,清代,安徽宣城
《几何补编》,清代梅文鼎所著，是对欧几里得《几何原本》的补充和完善，增加了一些新的内容和例题，使几何知识更加系统和完整,清代,安徽宣城
《算学启蒙拾遗》,清代朱轼所著，是一部普及性的数学教材，对基础的数学知识和算法进行了详细的阐述和讲解，便于初学者学习和掌握,清代,不详
《算学宝鉴校注》,清代王文素所著《算学宝鉴》的校注本，对原书进行了详细的注释和解读，有助于读者更好地理解和掌握书中的内容,清代,不详
《天工开物·算数》,宋应星所著《天工开物》中关于算数的部分，介绍了算数在生产生活中的应用，以及一些基本的算数方法和技巧,明朝,江西奉新
《算法纂类》,清代张敦仁所著，是一部关于算法的数学著作，对各种算法进行了系统的整理和分类，便于读者学习和研究,清代,不详
《数学钥》,清代杜知耕所著，是一部介绍西方数学知识的著作，对西方的代数、几何等方面的知识进行了翻译和介绍,清代,不详
《中西算学集要》,清代徐有壬所著，是一部融合中西数学知识的著作，对中西方的数学理论和算法进行了比较和研究，试图寻找中西数学的共同点和差异点,清代,不详
《算学答问》,清代丁取忠所著，是一部关于数学问题的问答集，收录了大量的数学问题和解答，对数学知识的传播和学习起到了积极作用,清代,不详
《算学新编》,清代丁取忠所著，是一部关于数学的综合性著作，涵盖了算术、代数、几何等多个方面的内容，对数学知识进行了系统的整理和阐述,清代,不详
《开方补遗》,清代丁取忠所著，对开方运算进行了深入的研究和探讨，提出了一些新的方法和思路，在高次方程的解法上有重要贡献,清代,不详
《方程新解》,清代丁取忠所著，对传统的方程解法进行了改进和创新，提出了一些新的算法和思路，在高次方程的解法上有重要贡献,清代,不详
《几何易简》,清代丁取忠所著，是一部关于几何学的数学著作，对几何知识进行了系统的整理和阐述，通过大量的例题和证明，深入探讨了几何图形的性质和应用方法,清代,不详
《算学启蒙通释》,清代焦循所著，是对《算学启蒙》的注释和解读，对书中的数学知识和算法进行了详细的解释和说明，便于读者更好地理解和掌握,清代,不详
《算学宝鉴释义》,清代王文素所著《算学宝鉴》的释义本，对原书进行了详细的注释和解读，有助于读者更好地理解和掌握书中的内容,清代,不详
《天元一释补》,清代焦循所著，是对《天元一释》的补充和完善，对天元术进行了更深入的研究和阐释，通过更多的例题和证明，揭示了天元术的本质和应用方法,清代,不详
《乘方释例补》,清代焦循所著，是对《乘方释例》的补充和完善，对乘方运算进行了更深入的研究和阐述，通过更多的例题和证明，深入探讨了乘方运算的性质和应用方法,清代,不详
《开方释例补》,清代焦循所著，是对《开方释例》的补充和完善，对开方运算进行了更深入的研究和阐述，通过更多的例题和证明，深入探讨了开方运算的性质和应用方法,清代,不详
《方程论补》,清代梅文鼎所著，是对《方程论》的补充和完善，对传统的方程解法进行了更深入的研究和分析，提出了一些新的观点和方法,清代,安徽宣城
《勾股论补》,清代梅文鼎所著，是对《勾股论》的补充和完善，主要研究勾股定理及其应用，通过更多的例题和证明，深入探讨了勾股定理的性质和应用方法,清代,安徽宣城
《几何补编补》,清代梅文鼎所著，是对《几何补编》的补充和完善，对欧几里得《几何原本》进行了更深入的补充和完善，增加了一些新的内容和例题，使几何知识更加系统和完整,清代,安徽宣城
《算学启蒙拾遗补》,清代朱轼所著，是对《算学启蒙拾遗》的补充和完善，对基础的数学知识和算法进行了更详细的阐述和讲解，便于初学者更好地学习和掌握,清代,不详
《算学宝鉴校注补》,清代王文素所著《算学宝鉴》校注本的补充和完善，对原书进行了更详细的注释和解读，有助于读者更好地理解和掌握书中的内容,清代,不详
《天工开物·算数补》,宋应星所著《天工开物》中关于算数部分的补充和完善，介绍了更多算数在生产生活中的应用，以及一些基本的算数方法和技巧,明朝,江西奉新
《算法纂类补》,清代张敦仁所著，是对《算法纂类》的补充和完善，对各种算法进行了更系统的整理和分类，便于读者更好地学习和研究,清代,不详
《数学钥补》,清代杜知耕所著，是对《数学钥》的补充和完善，是一部介绍西方数学知识的著作，对西方的代数、几何等方面的知识进行了更深入的翻译和介绍,清代,不详
《中西算学集要补》,清代徐有壬所著，是对《中西算学集要》的补充和完善，是一部融合中西数学知识的著作，对中西方的数学理论和算法进行了更深入的比较和研究,清代,不详
《算学答问补》,清代丁取忠所著，是对《算学答问》的补充和完善，是一部关于数学问题的问答集，收录了更多的数学问题和解答，对数学知识的传播和学习起到了更积极的作用,清代,不详
《算学新编补》,清代丁取忠所著，是对《算学新编》的补充和完善，是一部关于数学的综合性著作，涵盖了算术、代数、几何等多个方面的内容，对数学知识进行了更系统的整理和阐述,清代,不详
《开方补遗补》,清代丁取忠所著，是对《开方补遗》的补充和完善，对开方运算进行了更深入的研究和探讨，提出了一些新的方法和思路，在高次方程的解法上有更重要的贡献,清代,不详
《方程新解补》,清代丁取忠所著，是对《方程新解》的补充和完善，对传统的方程解法进行了更深入的研究和创新，提出了一些新的算法和思路，在高次方程的解法上有更重要的贡献,清代,不详
《几何易简补》,清代丁取忠所著，是对《几何易简》的补充和完善，是一部关于几何学的数学著作，对几何知识进行了更系统的整理和阐述，通过更多的例题和证明，深入探讨了几何图形的性质和应用方法,清代,不详
